WireL,WireH,NatPerch,NatPerchH,AnthroPerch,AnthroPerchH,Ditches,DitchD,DitchW,GrassW,GrassH
1000,10,52,12,30,2,3,1.1,5.5,1.5,0.105
500,10,101,11,2,1,2,3,14,1.5,0.05
770,10,0,0,6,1,2,0.55,2.25,0,0
750,9,101,13,6,1.5,3,0.6,3.166666667,1.5,0.01
500,9,4,14,45,1,1,5,11,3,0.1
500,9,0,0,2,1,1,0.1,2.5,0,0
1000,10,13,7,27,1.5,2,0.15,1.5,1,0.025
1000,12,8,10,1,2,3,2.066666667,5.5,1.5,0.125
0,0,3,2,0,0,2,1,3.25,2,0.15
520,9,0,0,8,1.5,1,0.9,3.5,3.55,0.125
780,9,85,10,8,3.6,2,0.55,2.85,2.75,0.525
750,10,101,13,50,1,2,0.35,1,1,0.05
500,10,50,12,2,1.5,2,0.85,3.25,0.5,0.05
640,10,15,3,101,1,2,1.25,4.75,2.5,0.1
1000,10,14,10,21,1.5,3,0.833333333,2.5,3.5,0.15
500,10,101,13,4,1,2,0.75,4,1,0.025
0,0,0,0,0,0,0,0,0,0,0
780,10,0,0,4,1,5,1.75,8,3,0.075
1000,9.5,2,3,3,1,3,2.5,8,2,0.05
750,10,45,10,101,1,4,0.8,2.375,1.5,0.05
750,10,101,10,10,2.5,4,0.275,1.75,2,0.075
270,10,6,5,2,1,1,1,5,8,0.2
250,10,8,10,16,1.5,2,0.85,3.5,1,0.05
750,10,0,0,11,2.5,5,0.55,2.625,3,0.055
1050,10,101,10,16,2,4,1,4.75,3,0.055
1000,12.5,20,4,0,0,3,1.433333333,4.833333333,2.5,0.1
500,7,101,5.5,0,0,0,0,0,1.2,0.2
850,8,101,8,67,3.5,5,0.55,1.9375,2.6,0.425
750,10,101,15,37,1.5,4,3.75,6,1.5,0.175
0,0,20,10,30,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
800,10,49,10,64,9,2,1.65,3.75,4.25,0.6
600,10,0,0,1,5.5,2,0.5,2.25,4,0.2
1000,10,2,4,2,1,4,0.75,2.25,2,0.15
600,9,101,16,27,8,4,0.95,5.8,8.05,0.31
0,0,3,1,0,0,2,1.2,7.25,8.05,0.26
980,8.5,101,14,10,1.3,4,0.775,4.05,4.85,0.425
510,9,0,0,0,0,2,1.05,3.55,3.75,0.95
760,7.5,101,14,26,2.5,2,0.4,3.7,1.35,0.325
740,9,11,1.7,10,1.6,4,0.575,2.225,4.8,0.235
750,11,25,12,101,3,3,0.666666667,2.666666667,2.5,0.055
750,8,26,2.2,1,0.6,3,1.533333333,4.666666667,4.35,0.275
500,8,6,0.8,2,0.6,2,0.9,2.9,4.5,0.275
1000,10,73,11,50,2,4,0.55,2.625,2,0.1
750,10,7,4,3,1,3,0.633333333,3,1.5,0.105
520,7.5,4,1.1,4,1.6,1,1.6,7.2,4.6,0.08
550,10,101,10,8,1,3,1.933333333,7.333333333,2,0.5
0,0,0,0,0,0,0,0,0,0,0
600,10,101,10,20,2.5,3,1.066666667,4,1,0.075
500,10,66,9,7,0.5,2,0.35,1.5,2,0.15
500,10,23,6,0,0,1,0,0,0,0
